@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
'MaIz Tecnificado',Transitorio,Cereales,Cereales,16,14,65,4.64,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',1,1,7,7,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,4,4,'Coriandrum sativum','En fresco'
Esparrago,Transitorio,Hortalizas,'Hortalizas de Tallo',49,45,140,3.11,'Asparagus officinalis','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',12,10,190,19,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',13,10,300,30,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',986,350,3500,10,'Persea americana','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,15,10,300,30,'Passiflora edulis Sims fo. Edulis','En fresco'
Mora,Permanente,Frutales,'Demas frutales',50,50,500,10,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',320,290,2030,7,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,40,40,32,0.8,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',15,15,600,40,'Allium fistulosum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',10,10,100,10,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',10,10,300,30,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,40,40,32,0.8,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',15,10,400,40,'Allium fistulosum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',15,15,225,15,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',10,6,180,30,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',333,280,5600,20,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',53,49,980,20,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,11,5,108,21.6,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,3,1,10,10,'Psidium guajava L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,8,8,96,12,'Solanum quitoense Lam','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,12,4,56,14,'Passiflora edulis','En fresco'
'Papaya  demAs variedades',Permanente,Frutales,'Demas frutales',7,7,280,40,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',3005,3000,36000,12,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,202,190,6650,35,'No aplica','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,35,35,105,3,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,40,40,120,3,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',500,500,5000,10,'Persea americana','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,87,87,870,10,'Psidium guajava L.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',620,550,7700,14,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,1015,1015,20300,20,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,5,5,7.5,1.5,'Zea mays','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,3,3,6,2,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,3,3,13.5,4.5,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,5,5,7.5,1.5,'Zea mays','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,3,3,6,2,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,3,3,13.5,4.5,'Phaseolus vulgaris','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',595,570,5900,10.35,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,55,53,128.26,2.42,'Zea mays','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',7,7,56,8,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,3,12,4,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,4,4,40,10,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,27,23,276,12,'Citrus limon L.','En fresco'
'Mango demAs variedades',Permanente,Frutales,'Demas frutales',6,6,48,8,'Mangifera indica L','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,6,6,48,8,'Citrus sinensis L. OSBECK','En fresco'
'Papaya  demAs variedades',Permanente,Frutales,'Demas frutales',15,5,150,30,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',70,50,500,10,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,7,7,9.79,1.4,'Zea mays','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,70,10,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,56,8,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,10,100,10,'Manihot esculenta','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,7,7,9.79,1.4,'Zea mays','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,70,10,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,56,8,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,10,100,10,'Manihot esculenta','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',63,53,477,9,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',205,186,1488,8,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,5,5,60,12,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,15,15,45,3,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,12,12,60,5,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,16,16,56,3.5,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,10,10,55,5.5,'Zea mays','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',4,4,28,7,'Manihot esculenta','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',819,399,4788,12,'Persea americana','En fresco'
Mora,Permanente,Frutales,'Demas frutales',2,2,18,9,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',381,261,4176,16,'Musa paradisiaca L.','En fresco'
'Otros frutales',Permanente,Frutales,'Demas frutales',1,0,0,0,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,28,3.5,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.25,0.25,0.25,1,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.3,0.3,3.15,10.5,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.5,0.5,1,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2.5,2.5,237.5,95,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.25,0.25,0.25,1,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,28,3.5,'Zea mays','En fresco'
