@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',3,2,30,15,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',7,5,85,17,'Lycopersicon esculentum','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',24.96,19.96,259.48,13,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',307.04,305.04,3660.48,12,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',36,24,336,14,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,1.5,1.5,19.5,13,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,4.5,2.5,36.25,14.5,'Psidium guajava L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,49.14,29.14,437.1,15,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,10,5,75,15,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,12,12,144,12,'Citrus reticulata','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,4.5,4.5,54,12,'Passiflora edulis','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,129.65,129.65,1944.75,15,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,1.92,0.92,9.2,10,'Citrus sinensis L. OSBECK','En fresco'
'Papaya  demAs variedades',Permanente,Frutales,'Demas frutales',2.5,2.5,40,16,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',3107.5,3087.5,37050,12,'Musa paradisiaca L.','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',6,3,36,12,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2,2,24,12,'Lycopersicon esculentum','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',483,483,4830,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',17,17,170,10,'Persea americana','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,87,87,1044,12,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,17.71,17.71,407.33,23,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,58.37,58.37,1342.51,23,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,201.83,201.83,5045.75,25,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,887.15,887.15,17743,20,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,3.79,3.79,83.38,22,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',650,650,13000,20,'Musa paradisiaca L.','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,1,3,4.5,1.5,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,3,3,13.5,4.5,'Phaseolus vulgaris','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',28.3,23.3,233,10,'Persea americana hass','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',641.5,621.5,6836.5,11,'Musa paradisiaca L.','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',5,3,15,5,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,3,19.8,6.6,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,4,3,24.9,8.3,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,22,22,176,8,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,5,5,30,6,'Citrus limon L.','En fresco'
'Mango demAs variedades',Permanente,Frutales,'Demas frutales',6,5,40,8,'Mangifera indica L','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,6,6,33.6,5.6,'Citrus sinensis L. OSBECK','En fresco'
'Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Permanente,Frutales,'Demas frutales',15,15,420,28,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',48,48,374.4,7.8,'Musa paradisiaca L.','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,84,12,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',5,5,30,6,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,7.5,67.5,9,'Manihot esculenta','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',8,8,104,13,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',8,8,64,8,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',6,10,90,9,'Manihot esculenta','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',27,25,225,9,'Persea americana hass','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',40,40,320,8,'Persea americana','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,0.3,0.3,1.8,6,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,0.76,0.76,6.08,8,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,3.85,3.85,42.35,11,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',216,199,1592,8,'Musa paradisiaca L.','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',271.92,271.92,3263.04,12,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',18.1,16.1,161,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',677.98,676.98,14940.95,22.07,'Persea americana','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,2,2,14,7,'Passiflora edulis Sims fo. Edulis','En fresco'
Mora,Permanente,Frutales,'Demas frutales',1,1,9,9,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',475,475,2850,6,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.5,0.5,5,10,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',3.5,3.5,350,100,'Lycopersicon esculentum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.5,0.4,4,10,'Allium fistulosum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',3.5,3.5,350,100,'Lycopersicon esculentum','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',37,37,555,15,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,1,1,5,5,'Annona muricata L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,0.07,0.07,0.56,8,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,1.24,1.24,12.4,10,'Citrus limon L.','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,1.02,1.02,6.12,6,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',250,230,1150,5,'Musa paradisiaca L.','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,1,5,'Allium cepa','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.2,0.2,0.8,4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,3,3,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',0.2,0.2,0.2,1,'Lactuca sativa','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',0.3,0.3,0.9,3,'Cucumis sativus','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',0.3,0.3,0.6,2,'Capsicum annuum L','En fresco'
Remolacha,Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,0.8,4,'Beta vulgaris','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.2,0.2,0.4,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.5,3,2,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,0.6,3,'Daucus carota','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',1,0,0,0,'Manihot esculenta','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,1,5,'Allium cepa','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.2,0.2,0.8,4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,3,3,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',0.2,0.2,0.2,1,'Lactuca sativa','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',0.3,0.3,0.9,3,'Cucumis sativus','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',0.2,0.2,0.4,2,'Capsicum annuum L','En fresco'
Remolacha,Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,0.8,4,'Beta vulgaris','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.2,0.2,0.4,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.5,3,2,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',0.2,0.2,0.6,3,'Daucus carota','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',0,1,6,6,'Manihot esculenta','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',166.9,126.9,761.4,6,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',109,49,392,8,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',224.13,224.13,2241.3,10,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',320,289,1734,6,'Musa paradisiaca L.','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1.6,1.6,96,60,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2,2,200,100,'Lycopersicon esculentum','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,120,60,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2,2,200,100,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',32.2,20.2,161.6,8,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',4,2,18,9,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',76.5,73.5,735,10,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',22,19,114,6,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',4,4,18,4.5,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.7,0.7,0.77,1.1,'Coriandrum sativum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,0,0,0,'Solanum tuberosum','En fresco'
'Papa Criolla',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',6,5,30,6,'Solanum tuberosum','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',5,5,22.5,4.5,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,1,1,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',2,2,10,5,'Brassica oleracea var. capitata','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',2,2,8,4,'Daucus carota','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,10,200,20,'Solanum tuberosum','En fresco'
'Papa Criolla',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',6,6,60,10,'Solanum tuberosum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',1693.5,1393.5,26476.5,19,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',112,112,1904,17,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',12.5,9.5,118.75,12.5,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',155,141,1269,9,'Musa cavendishii','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,60,58,348,6,'Psidium guajava L.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,6,6,72,12,'Passiflora edulis Sims fo. Edulis','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,9.06,7.06,112.96,16,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,27.28,23.28,395.76,17,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,57.73,57.73,1039.14,18,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,296.42,292.42,4971.14,17,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,1.51,1.51,22.65,15,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',810,794,4764,6,'Musa paradisiaca L.','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.5,0.5,7.5,15,'Allium fistulosum','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',4,4,48,12,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',2,2,26,13,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',15,15,450,30,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,6,6,72,12,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,5,5,50,10,'Phaseolus vulgaris','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.5,0.5,7.5,15,'Allium fistulosum','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',4,4,48,12,'Capsicum annuum L','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',2,2,26,13,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',15,15,450,30,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,6,6,72,12,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,5,5,45,9,'Phaseolus vulgaris','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',79.5,31.5,204.75,6.5,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',733.5,41.5,178.45,4.3,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,31,26,273,10.5,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,5,5,26.5,5.3,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,1.84,1.34,14.74,11,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,5.62,4.42,57.46,13,'Citrus limon L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,10.96,10.96,158.92,14.5,'Citrus reticulata','En fresco'
Mangostino,Permanente,Frutales,'Demas frutales',2,2,5.2,2.6,'Garcinia mangostana L.','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,4.9,4.9,77.42,15.8,'Citrus sinensis L. OSBECK','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,0.29,0.29,4.52,15.59,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',115,93,1116,12,'Musa paradisiaca L.','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',2240,2200,30800,14,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',187.7,187.7,1877,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',1300.39,1300.39,11703.51,9,'Persea americana','En fresco'
Lulo,Permanente,Frutales,SolanAceas,70,70,840,12,'Solanum quitoense Lam','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',2220,2220,26640,12,'Musa paradisiaca L.','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',291,191,1528,8,'Persea americana mill','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',100,50,1500,30,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,2,0,0,0,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,255.5,255.5,4343.5,17,'Psidium guajava L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,240,180,4500,25,'Citrus limon L.','En fresco'
Macadamia,Permanente,Frutales,'Demas frutales',91,91,18.2,0.2,'Macadamia integrifolia','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,68,68,1700,25,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,199.39,199.39,4964.81,24.9,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',546,516,6708,13,'Musa paradisiaca L.','En fresco'
Zapote,Permanente,Frutales,'Demas frutales',3.1,3.1,6.2,2,'Pouteria sapota','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',8,8,192,24,'Cucumis sativus','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',6,6,360,60,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,5.5,5.5,99,18,'Phaseolus vulgaris','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',9,9,216,24,'Cucumis sativus','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,420,60,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,6.5,6,108,18,'Phaseolus vulgaris','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',31.3,6.3,37.8,6,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',2.7,2.7,16.2,6,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',251,251,1506,6,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,4,12,3,'Annona muricata L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,2,2,6,3,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',2,2,12,6,'Morus ssp','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,5.36,5.36,37.52,7,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',117,117,468,4,'Musa paradisiaca L.','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',5,5,125,25,'Cucurbita maxima','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',8,8,320,40,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',4,4,60,15,'Coriandrum sativum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',10,10,280,28,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,3,3,24,8,'Phaseolus vulgaris','En fresco'
Arracacha,Transitorio,'RaIces y TubErculos','RaIces y TubErculos',20,0,0,0,'Arracacia xanthorrhiza','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',15,0,0,0,'Solanum tuberosum','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',5,5,100,20,'Cucurbita maxima','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',8,8,320,40,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',4,4,60,15,'Coriandrum sativum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',10,10,280,28,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,3,3,30,10,'Phaseolus vulgaris','En fresco'
Arracacha,Transitorio,'RaIces y TubErculos','RaIces y TubErculos',10,0,0,0,'Arracacia xanthorrhiza','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',12,15,315,21,'Solanum tuberosum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',580.1,569.1,7398.3,13,'Persea americana hass','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',66,64,896,14,'Musa cavendishii','En fresco'
Chontaduro,Permanente,Frutales,ArAceas,66,58,1102,19,'Bactris gasipaes Kunth','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,1,1,25,25,'Passiflora edulis Sims fo. Edulis','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,7,6,60,10,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,7,5,50,10,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',71,46,322,7,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',616,559,6708,12,'Musa paradisiaca L.','En fresco'
'Tomate de Arbol',Permanente,Frutales,SolanAceas,9,8,120,15,'Solanum betaceum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.3,62.4,48,'Lycopersicon esculentum','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',4,0,0,0,'Manihot esculenta','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.5,72,48,'Lycopersicon esculentum','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',4,0,0,0,'Manihot esculenta','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',185,185,2590,14,'Persea americana mill','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,80,80,640,8,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,41,41,492,12,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,3.99,3.99,39.9,10,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,91.14,30.14,301.4,10,'Citrus limon L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,107,107,963,9,'Solanum quitoense Lam','En fresco'
